location,lat,lon
AMTRAK-Orlando,28.52504,-81.3816
The Beachham Theater,28.543004,-81.379418
Bumby Hardware Building,28.539738,-81.381086
Dickson-Azalea Park,28.544297,-81.358345
Ebenezer United Methodist Church,28.515499,-81.396418
Baldwin Fairchild Funeral Home,28.587161,-81.36496
Old Firestone Tire Factory,28.5507,-81.3794
Dubsdread Golf Course,28.58205,-81.38743
Kaley Elementary School,28.520319,-81.358521
Marks Street Senior Rec Center,28.557355,-81.3773731
Mount Zion Missionary Baptist Church,28.54386,-81.386102
Church Street Station,28.54,-81.380556
Orwin Manor,28.578752,-81.363782
Disney World,28.40572,-81.579179
Universal's Islands of Adventure,28.474903,-81.463638
Legoland Florida,27.986779,-81.690511
SeaWorld,28.415277,-81.461563
MCO Airport,28.432306,-81.306479
University of Central Florida,28.593648,-81.208169
Downtown Sanford,28.8109338,-81.2666431
Mall at Millenia,28.485635,-81.431498
